Index,Time,(INS).Yaw
1616,38.078000,-32.9932747
1617,38.097000,-33.0106316
1618,38.115000,-33.0219269
1619,38.136000,-33.0355072
1620,38.156000,-33.051918
1621,38.175000,-33.0685921
1622,38.201000,-33.090168
1623,38.221000,-33.1032829
1624,38.268000,-33.1413727
1625,38.287000,-33.1570816
1626,38.306000,-33.1717148
1627,38.325000,-33.187336
1628,38.345000,-33.2056389
1629,38.370000,-33.2260857
1630,38.392000,-33.2373734
1631,38.413000,-33.2536964
1632,38.434000,-33.2681389
1633,38.454000,-33.2845497
1634,38.473000,-33.301033
1635,38.519000,-33.3371429
1636,38.537000,-33.352417
1637,38.556000,-33.3690109
1638,38.576000,-33.3798828
1639,38.601000,-33.3954887
1640,38.621000,-33.4081573
1641,38.640000,-33.4201469
1642,38.660000,-33.4311371
1643,38.679000,-33.4437637
1644,38.700000,-33.4607697
1645,38.720000,-33.4770241
1646,38.767000,-33.5144272
1647,38.787000,-33.5301933
1648,38.809000,-33.5485115
1649,38.827000,-33.5610313
1650,38.846000,-33.5690804
1651,38.866000,-33.5774231
1652,38.888000,-33.589817
1653,38.907000,-33.6030006
1654,38.927000,-33.6137085
1655,38.948000,-33.6324997
1656,38.967000,-33.6513786
1657,39.016000,-33.6929855
1658,39.034000,-33.7044983
1659,39.055000,-33.7172546
1660,39.075000,-33.7280388
1661,39.094000,-33.7428627
1662,39.114000,-33.7596703
1663,39.133000,-33.7755928
1664,39.153000,-33.7875443
1665,39.174000,-33.8001633
1666,39.194000,-33.8100967
1667,39.215000,-33.8245392
1668,39.265000,-33.8584366
1669,39.284000,-33.8718033
1670,39.305000,-33.8863525
1671,39.326000,-33.8993034
1672,39.346000,-33.9113922
1673,39.366000,-33.9259415
1674,39.386000,-33.9381828
1675,39.406000,-33.9509506
1676,39.425000,-33.962925
1677,39.445000,-33.9712181
1678,39.464000,-33.9896812
1679,39.495000,-34.0082283
1680,39.525000,-34.0285873
1681,39.545000,-34.0414162
1682,39.565000,-34.0525818
1683,39.583000,-34.0691605
1684,39.602000,-34.079689
1685,39.621000,-34.0923347
1686,39.640000,-34.1037636
1687,39.659000,-34.1182518
1688,39.680000,-34.1316338
1689,39.702000,-34.1435738
1690,39.720000,-34.1539268
1691,39.769000,-34.1795006
1692,39.787000,-34.1927795
1693,39.813000,-34.2097321
1694,39.833000,-34.224247
1695,39.854000,-34.2389755
1696,39.875000,-34.2531242
1697,39.894000,-34.2649841
1698,39.915000,-34.2802544
1699,39.935000,-34.2934036
1700,39.954000,-34.3077316
1701,39.974000,-34.3215866
1702,40.019000,-34.3493881
1703,40.044000,-34.3674889
1704,40.063000,-34.3795433
1705,40.084000,-34.3903656
1706,40.106000,-34.4014587
1707,40.125000,-34.4172668
1708,40.143000,-34.4276428
1709,40.163000,-34.4360924
1710,40.184000,-34.4492531
1711,40.204000,-34.4596214
1712,40.223000,-34.4676628
1713,40.268000,-34.4950447
1714,40.288000,-34.5121651
1715,40.309000,-34.5285339
1716,40.329000,-34.5404968
1717,40.347000,-34.5553322
1718,40.368000,-34.5690079
1719,40.388000,-34.5765038
1720,40.407000,-34.5867348
1721,40.426000,-34.6016655
1722,40.446000,-34.6094246
1723,40.467000,-34.6210327
1724,40.521000,-34.6541176
1725,40.541000,-34.6664734
1726,40.561000,-34.6804619
1727,40.580000,-34.6909828
1728,40.605000,-34.7069893
1729,40.624000,-34.7124748
1730,40.644000,-34.7276306
1731,40.663000,-34.7353477
1732,40.681000,-34.7462463
1733,40.702000,-34.753849
1734,40.722000,-34.7619629
1735,40.771000,-34.7880936
1736,40.791000,-34.8009033
1737,40.811000,-34.8124275
1738,40.830000,-34.8274117
1739,40.849000,-34.8358345
1740,40.869000,-34.8466721
1741,40.888000,-34.8569145
1742,40.909000,-34.8678284
1743,40.929000,-34.881115
1744,40.950000,-34.8899994
1745,40.969000,-34.9017982
1746,41.019000,-34.9234695
1747,41.037000,-34.9333038
1748,41.058000,-34.946373
1749,41.078000,-34.95644
1750,41.096000,-34.967289
1751,41.116000,-34.9758682
1752,41.135000,-34.9866638
1753,41.160000,-34.9965782
1754,41.178000,-35.0047112
1755,41.200000,-35.0160942
1756,41.219000,-35.0259476
1757,41.269000,-35.0485992
1758,41.288000,-35.0551643
1759,41.308000,-35.0672951
1760,41.327000,-35.0760155
1761,41.347000,-35.090023
1762,41.366000,-35.1035995
1763,41.385000,-35.117382
1764,41.405000,-35.1294861
1765,41.424000,-35.1399956
1766,41.442000,-35.1543922
1767,41.469000,-35.1621552
1768,41.514000,-35.176918
1769,41.533000,-35.1886635
1770,41.552000,-35.1947746
1771,41.571000,-35.2000504
1772,41.592000,-35.2148437
1773,41.611000,-35.2242775
1774,41.630000,-35.2347984
1775,41.649000,-35.246357
1776,41.670000,-35.2615585
1777,41.689000,-35.2747726
1778,41.713000,-35.2883034
1779,41.732000,-35.2997704
1780,41.781000,-35.323391
1781,41.801000,-35.3323898
1782,41.820000,-35.3393288
1783,41.839000,-35.3438339
1784,41.860000,-35.3543243
1785,41.880000,-35.3647346
1786,41.900000,-35.3790894
1787,41.924000,-35.3951683
1788,41.943000,-35.4098473
1789,41.963000,-35.4218254
1790,41.983000,-35.4333344
1791,42.020000,-35.4498482
1792,42.041000,-35.4578362
1793,42.060000,-35.4624252
1794,42.080000,-35.4691505
1795,42.100000,-35.4800072
1796,42.119000,-35.4899788
1797,42.144000,-35.4997749
1798,42.164000,-35.5121651
1799,42.184000,-35.5242271
1800,42.203000,-35.5343208
1801,42.223000,-35.5399742
1802,42.267000,-35.5674934
1803,42.287000,-35.5764999
1804,42.306000,-35.5844612
1805,42.325000,-35.5920601
1806,42.344000,-35.5967789
1807,42.363000,-35.6049805
1808,42.382000,-35.6124992
1809,42.402000,-35.6206322
1810,42.421000,-35.6294174
1811,42.440000,-35.6446877
1812,42.466000,-35.6534042
1813,42.509000,-35.6731071
1814,42.527000,-35.6779785
1815,42.547000,-35.683094
1816,42.567000,-35.6877632
1817,42.587000,-35.6916428
1818,42.606000,-35.6979027
1819,42.627000,-35.7111206
1820,42.647000,-35.725769
1821,42.667000,-35.7406616
1822,42.686000,-35.7488365
1823,42.706000,-35.7604408
1824,42.725000,-35.7687454
1825,42.770000,-35.7856483
1826,42.790000,-35.7939034
1827,42.809000,-35.8018875
1828,42.829000,-35.813015
1829,42.848000,-35.827095
1830,42.875000,-35.8370285
1831,42.894000,-35.8468018
1832,42.913000,-35.8567619
1833,42.932000,-35.8622704
1834,42.950000,-35.8684196
1835,42.970000,-35.8774567
1836,42.993000,-35.8864059
1837,43.030000,-35.9016342
1838,43.048000,-35.9103394
1839,43.068000,-35.922863
1840,43.088000,-35.9291
1841,43.107000,-35.9349442
1842,43.126000,-35.9429893
1843,43.146000,-35.9503593
1844,43.165000,-35.9575424
1845,43.184000,-35.9659424
1846,43.205000,-35.9746094
1847,43.226000,-35.9857101
1848,43.278000,-36.0042839
1849,43.299000,-36.0117607
1850,43.320000,-36.017849
1851,43.341000,-36.0282936
1852,43.361000,-36.0376472
1853,43.396000,-36.0437469
1854,43.417000,-36.0523262
1855,43.440000,-36.064846
1856,43.460000,-36.0725861
1857,43.479000,-36.0789719
1858,43.534000,-36.0958977
1859,43.554000,-36.1027145
1860,43.573000,-36.1108017
1861,43.593000,-36.1180878
1862,43.614000,-36.1257019
1863,43.633000,-36.1323166
1864,43.656000,-36.1431465
1865,43.676000,-36.1579819
1866,43.709000,-36.1660347
1867,43.729000,-36.173687
1868,43.772000,-36.1909103
1869,43.791000,-36.1988602
1870,43.819000,-36.2067184
1871,43.839000,-36.2158203
1872,43.857000,-36.2208862
1873,43.877000,-36.2313347
1874,43.897000,-36.2365227
1875,43.917000,-36.2448387
1876,43.936000,-36.2507095
1877,43.956000,-36.2603493
1878,43.977000,-36.2690468
1879,44.035000,-36.2877693
1880,44.062000,-36.2951012
1881,44.081000,-36.3039703
1882,44.113000,-36.3124771
1883,44.132000,-36.3142853
1884,44.157000,-36.3241196
1885,44.177000,-36.3311958
1886,44.200000,-36.3377762
1887,44.220000,-36.3442497
1888,44.262000,-36.3572807
1889,44.281000,-36.3665352
1890,44.299000,-36.3749428
1891,44.320000,-36.3790894
1892,44.339000,-36.385994
1893,44.359000,-36.3951912
1894,44.378000,-36.4012566
1895,44.399000,-36.4079247
1896,44.418000,-36.4146538
1897,44.437000,-36.4209175
1898,44.458000,-36.4297905
1899,44.476000,-36.4342842
1900,44.507000,-36.4545097
1901,44.562000,-36.4604225
1902,44.580000,-36.4628448
1903,44.599000,-36.4670296
1904,44.618000,-36.4735298
1905,44.637000,-36.4802437
1906,44.658000,-36.4863625
1907,44.677000,-36.4959908
1908,44.698000,-36.5053749
1909,44.717000,-36.5111275
1910,44.761000,-36.5184555
1911,44.780000,-36.5233421
1912,44.800000,-36.528244
1913,44.820000,-36.531498
1914,44.847000,-36.5420303
1915,44.866000,-36.5488625
1916,44.887000,-36.5565453
